miRNA,SRR24055586,SRR24055587,SRR24055588,SRR24055589,SRR24055590,SRR24055591,SRR24055592,SRR24055593,SRR24055594,SRR24055595,SRR24055596,SRR24055597,SRR24055598,SRR24055599,SRR24055600,SRR24055601,SRR24055602,SRR24055603,SRR24055604,SRR24055605,SRR32768338,SRR32768339,SRR32768340,SRR32768341,SRR32768342,SRR32768343,SRR32768344,SRR32768345,SRR32768346,SRR32768347,SRR32768349,SRR32768351,SRR32768352,SRR32768353,SRR32768354,SRR32768355,SRR32768356,SRR32768357
hsa-let-7a-2-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-let-7a-3p,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,42,8,4,10,4,28,0,18,4,10,12,10,0,0,22,0
hsa-let-7a-5p,314,1568,658,246,625,4097,3104,4080,1196,1556,3685,882,458,1861,1823,3254,660,841,1081,2597,63798,155055,97358,63505,218407,44773,36048,105634,120,116500,162850,495809,147135,13166,176621,20803,88249,99086
hsa-let-7b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,2,20,6,3,13,0,2,4,11,0,0,0,0,0,0
hsa-let-7b-5p,176,1441,558,290,909,2070,2000,846,436,441,4118,1216,1129,1732,2004,3160,723,1237,1454,3575,7190,14092,12406,7629,21310,6324,4104,15353,15,7506,21631,41041,17385,1526,17934,1760,6329,6990
hsa-let-7c-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-let-7c-5p,26,73,29,23,42,301,142,171,53,79,195,48,62,113,171,235,57,97,134,117,942,737,739,409,1173,527,825,918,11,519,770,1737,574,124,544,123,505,495
hsa-let-7d-3p,3,4,1,5,1,0,2,14,0,2,35,0,1,3,0,4,0,5,4,2,19,75,54,41,281,30,45,63,1,146,83,707,188,19,108,11,88,115
hsa-let-7d-5p,8,62,18,18,19,120,133,160,27,48,152,47,1,16,58,49,10,14,17,37,372,980,788,645,2175,202,244,885,1,1131,1531,5885,1072,120,1472,135,760,836
hsa-let-7e-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0
hsa-let-7e-5p,4,35,10,10,3,74,24,30,14,28,17,13,2,31,24,26,4,2,28,7,403,761,874,609,2006,613,219,1167,1,885,1276,5158,1459,249,1011,191,778,736
hsa-let-7f-1-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0
hsa-let-7f-2-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,3,1,0,0,0,0,0,0
hsa-let-7f-5p,384,1238,418,274,772,3007,3917,5201,1134,1393,2729,785,495,1330,1323,2730,902,809,1076,1578,29975,73756,57604,39301,184182,23334,20847,62460,62,115131,106348,426766,126356,11324,117341,14576,81632,93697
