ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030199,collagen fibril organization,May-19,69/18805,0.072463768,71.72006102,18.7160198,6.41E-09,8.41E-06,4.32E-06,TGFBR1/PXDN/NF1/COL3A1/COL1A2,5
GO:0050679,positive regulation of epithelial cell proliferation,Jun-19,218/18805,0.027522936,27.24046354,12.3930974,5.42E-08,2.71E-05,1.39E-05,TGFBR1/NRAS/RICTOR/MYCN/NF1/SIRT1,6
GO:0001938,positive regulation of endothelial cell proliferation,May-19,108/18805,0.046296296,45.8211501,14.85571889,6.21E-08,2.71E-05,1.39E-05,TGFBR1/NRAS/RICTOR/NF1/SIRT1,5
GO:0085029,extracellular matrix assembly,Apr-19,56/18805,0.071428571,70.69548872,16.61094688,2.64E-07,8.66E-05,4.45E-05,TGFBR1/PXDN/COL3A1/COL1A2,4
GO:0001936,regulation of endothelial cell proliferation,May-19,180/18805,0.027777778,27.49269006,11.35792334,7.93E-07,0.000207846,0.000106806,TGFBR1/NRAS/RICTOR/NF1/SIRT1,5
GO:0021543,pallium development,May-19,194/18805,0.025773196,25.5086815,10.91241116,1.15E-06,0.000250716,0.000128836,CASP3/IGF1R/NF1/COL3A1/EZH2,5
GO:0001935,endothelial cell proliferation,May-19,203/18805,0.024630542,24.37775473,10.65015086,1.43E-06,0.000268705,0.000138079,TGFBR1/NRAS/RICTOR/NF1/SIRT1,5
GO:0050678,regulation of epithelial cell proliferation,Jun-19,410/18805,0.014634146,14.48395379,8.778979814,2.21E-06,0.000361991,0.000186016,TGFBR1/NRAS/RICTOR/MYCN/NF1/SIRT1,6
GO:0009314,response to radiation,Jun-19,442/18805,0.013574661,13.43534175,8.413598924,3.41E-06,0.000496796,0.000255289,MAPK8/CASP3/NF1/COL3A1/CCND2/SIRT1,6
GO:0090398,cellular senescence,Apr-19,110/18805,0.036363636,35.99043062,11.70489866,4.01E-06,0.000526307,0.000270454,MAPK8/IGF1R/HMGA2/SIRT1,4
GO:0071902,positive regulation of protein serine/threonine kinase activity,Apr-19,114/18805,0.035087719,34.72760849,11.48699594,4.63E-06,0.000551611,0.000283457,HMGA2/CCND2/EZH2/SIRT1,4
GO:0050673,epithelial cell proliferation,Jun-19,488/18805,0.012295082,12.1688956,7.950194111,6.03E-06,0.000648069,0.000333023,TGFBR1/NRAS/RICTOR/MYCN/NF1/SIRT1,6
GO:0021761,limbic system development,Apr-19,125/18805,0.032,31.67157895,10.94176711,6.67E-06,0.000648069,0.000333023,CASP3/IGF1R/NF1/EZH2,4
GO:0021537,telencephalon development,May-19,280/18805,0.017857143,17.67387218,8.939662806,6.92E-06,0.000648069,0.000333023,CASP3/IGF1R/NF1/COL3A1/EZH2,5
GO:0043200,response to amino acid,Apr-19,131/18805,0.030534351,30.22097228,10.67324296,8.04E-06,0.000683767,0.000351368,CASP3/IGF1R/COL3A1/COL1A2,4
GO:0061448,connective tissue development,May-19,291/18805,0.017182131,17.00578767,8.751009972,8.34E-06,0.000683767,0.000351368,TGFBR1/MYCN/HMGA2/COL3A1/SIRT1,5
GO:0048511,rhythmic process,May-19,303/18805,0.01650165,16.33229112,8.556650542,1.02E-05,0.000776563,0.000399053,MAPK8/CASP3/IGF1R/EZH2/SIRT1,5
GO:0071560,cellular response to transforming growth factor beta stimulus,May-19,308/18805,0.016233766,16.06715653,8.47892459,1.10E-05,0.000776563,0.000399053,IGF1R/TGFBR1/COL3A1/COL1A2/SIRT1,5
GO:0071559,response to transforming growth factor beta,May-19,315/18805,0.015873016,15.7101086,8.37312285,1.23E-05,0.000776563,0.000399053,IGF1R/TGFBR1/COL3A1/COL1A2/SIRT1,5
GO:0001101,response to acid chemical,Apr-19,146/18805,0.02739726,27.11607787,10.07453391,1.23E-05,0.000776563,0.000399053,CASP3/IGF1R/COL3A1/COL1A2,4
GO:0043491,phosphatidylinositol 3-kinase/protein kinase B signal transduction,May-19,316/18805,0.015822785,15.66039307,8.358285614,1.24E-05,0.000776563,0.000399053,IGF1R/TGFBR1/RICTOR/NF1/SIRT1,5
GO:0043588,skin development,May-19,324/18805,0.015432099,15.2737167,8.241980963,1.40E-05,0.000836431,0.000429817,CASP3/NF1/COL3A1/COL1A2/EZH2,5
GO:0030198,extracellular matrix organization,May-19,339/18805,0.014749263,14.59788853,8.034700131,1.75E-05,0.000909708,0.000467472,TGFBR1/PXDN/NF1/COL3A1/COL1A2,5
GO:0043062,extracellular structure organization,May-19,340/18805,0.014705882,14.55495356,8.021352451,1.77E-05,0.000909708,0.000467472,TGFBR1/PXDN/NF1/COL3A1/COL1A2,5
GO:0045229,external encapsulating structure organization,May-19,341/18805,0.014662757,14.51227041,8.008061217,1.80E-05,0.000909708,0.000467472,TGFBR1/PXDN/NF1/COL3A1/COL1A2,5
GO:0071214,cellular response to abiotic stimulus,May-19,344/18805,0.014534884,14.38570991,7.968522108,1.87E-05,0.000909708,0.000467472,MAPK8/CASP3/IGF1R/CCND2/SIRT1,5
GO:0104004,cellular response to environmental stimulus,May-19,344/18805,0.014534884,14.38570991,7.968522108,1.87E-05,0.000909708,0.000467472,MAPK8/CASP3/IGF1R/CCND2/SIRT1,5
GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,Apr-19,190/18805,0.021052632,20.8365651,8.739699789,3.48E-05,0.001627163,0.000836151,IGF1R/TGFBR1/RICTOR/SIRT1,4
GO:0006979,response to oxidative stress,May-19,408/18805,0.012254902,12.12912797,7.227739246,4.24E-05,0.001807376,0.000928757,MAPK8/CASP3/PXDN/EZH2/SIRT1,5
GO:0000302,response to reactive oxygen species,Apr-19,201/18805,0.019900498,19.69625556,8.474893746,4.33E-05,0.001807376,0.000928757,MAPK8/CASP3/EZH2/SIRT1,4
GO:0033034,positive regulation of myeloid cell apoptotic process,Feb-19,10/18805,0.2,197.9473684,19.81133674,4.33E-05,0.001807376,0.000928757,NF1/SIRT1,2
GO:0030900,forebrain development,May-19,413/18805,0.012106538,11.98228622,7.176919379,4.50E-05,0.001807376,0.000928757,CASP3/IGF1R/NF1/COL3A1/EZH2,5
GO:0001934,positive regulation of protein phosphorylation,May-19,414/18805,0.012077295,11.9533435,7.166860789,4.55E-05,0.001807376,0.000928757,RICTOR/HMGA2/CCND2/EZH2/SIRT1,5
GO:0045860,positive regulation of protein kinase activity,Apr-19,210/18805,0.019047619,18.85213033,8.273444681,5.14E-05,0.001923717,0.000988541,HMGA2/CCND2/EZH2/SIRT1,4
GO:0051216,cartilage development,Apr-19,210/18805,0.019047619,18.85213033,8.273444681,5.14E-05,0.001923717,0.000988541,TGFBR1/MYCN/HMGA2/COL3A1,4
GO:0042698,ovulation cycle,Mar-19,75/18805,0.04,39.58947368,10.64916022,5.64E-05,0.002029872,0.001043091,CASP3/IGF1R/SIRT1,3
GO:0071900,regulation of protein serine/threonine kinase activity,Apr-19,217/18805,0.01843318,18.24399709,8.125240763,5.83E-05,0.002029872,0.001043091,HMGA2/CCND2/EZH2/SIRT1,4
GO:0042327,positive regulation of phosphorylation,May-19,437/18805,0.011441648,11.32422016,6.94467303,5.88E-05,0.002029872,0.001043091,RICTOR/HMGA2/CCND2/EZH2/SIRT1,5
GO:0071394,cellular response to testosterone stimulus,Feb-19,12/18805,0.166666667,164.9561404,18.0677892,6.34E-05,0.002126205,0.001092594,IGF1R/SIRT1,2
