category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,42887,101/9381,0.059405941,32.78159581,13.68225172,1.51E-08,2.46E-06,1.27E-06,MAPK8/CASP3/TGFBR1/NRAS/COL3A1/COL1A2,6
Environmental Information Processing,Signal transduction,hsa04068,FoxO signaling pathway,42887,133/9381,0.045112782,24.89429456,11.82473184,7.90E-08,6.44E-06,3.33E-06,MAPK8/IGF1R/TGFBR1/NRAS/CCND2/SIRT1,6
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,42917,300/9381,0.023333333,12.87588235,8.907479952,4.71E-07,2.56E-05,1.32E-05,MAPK8/CASP3/IGF1R/TGFBR1/NGF/NRAS/NF1,7
Organismal Systems,Endocrine system,hsa04926,Relaxin signaling pathway,42856,130/9381,0.038461538,21.2239819,9.893254493,2.56E-06,0.000104391,5.39E-05,MAPK8/TGFBR1/NRAS/COL3A1/COL1A2,5
Human Diseases,Cancer: overview,hsa05206,MicroRNAs in cancer,42887,323/9381,0.018575851,10.25059188,7.208581307,1.43E-05,0.000406949,0.000210242,CASP3/NRAS/HMGA2/CCND2/EZH2/SIRT1,6
Human Diseases,Cancer: specific types,hsa05210,Colorectal cancer,42826,87/9381,0.045977011,25.37119675,9.730391749,1.50E-05,0.000406949,0.000210242,MAPK8/CASP3/TGFBR1/NRAS,4
Environmental Information Processing,Signal transduction,hsa04014,Ras signaling pathway,42856,238/9381,0.021008403,11.59293129,7.052700659,4.86E-05,0.001131453,0.000584542,MAPK8/IGF1R/NGF/NRAS/NF1,5
Cellular Processes,Cell growth and death,hsa04210,Apoptosis,42826,137/9381,0.02919708,16.1116359,7.591663916,8.94E-05,0.001821287,0.00094093,MAPK8/CASP3/NGF/NRAS,4
Cellular Processes,Cell growth and death,hsa04218,Cellular senescence,42826,157/9381,0.025477707,14.0591982,7.030753467,0.000151622,0.00259669,0.001341525,TGFBR1/NRAS/CCND2/SIRT1,4
Organismal Systems,Aging,hsa04213,Longevity regulating pathway - multiple species,42795,62/9381,0.048387097,26.70113852,8.650848942,0.000175009,0.00259669,0.001341525,IGF1R/NRAS/SIRT1,3
Human Diseases,Infectious disease: viral,hsa05161,Hepatitis B,42826,163/9381,0.024539877,13.5416817,6.882185943,0.000175237,0.00259669,0.001341525,MAPK8/CASP3/TGFBR1/NRAS,4
Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,42856,333/9381,0.015015015,8.28563858,5.767779133,0.00023789,0.003231341,0.001669404,CASP3/NRAS/CHD4/COL1A2/CCND2,5
Organismal Systems,Endocrine system,hsa04917,Prolactin signaling pathway,42795,71/9381,0.042253521,23.31648716,8.0422088,0.000261825,0.003282884,0.001696033,MAPK8/NRAS/CCND2,3
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,42856,362/9381,0.013812155,7.621871953,5.474583041,0.000350781,0.003435381,0.001774817,IGF1R/NGF/NRAS/COL1A2/CCND2,5
Human Diseases,Drug resistance: antineoplastic,hsa01521,EGFR tyrosine kinase inhibitor resistance,42795,80/9381,0.0375,20.69338235,7.536950476,0.000372594,0.003435381,0.001774817,IGF1R/NRAS/NF1,3
