,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-103a-3p,938.6508637,1.048376441,0.23433507,4.473835022,7.68E-06,0.001090972
hsa-miR-1307-3p,76.02410322,1.281085821,0.30113385,4.254207298,2.10E-05,0.001489515
hsa-let-7f-5p,8992.431315,0.575436816,0.1525189,3.772888593,0.000161368,0.007638102
hsa-miR-191-5p,596.9545376,0.584864227,0.196216024,2.980715921,0.002875754,0.071845919
hsa-miR-30a-5p,124.2746995,-0.720947052,0.243226682,-2.964095249,0.003035743,0.071845919
hsa-miR-370-3p,234.22763,1.44771424,0.472058719,3.066809661,0.002163566,0.071845919
hsa-miR-155-5p,37.80897989,-0.682336112,0.236437639,-2.885903089,0.003902923,0.079173584
hsa-let-7d-5p,136.7013643,0.633304551,0.233686263,2.710063247,0.006727038,0.095523938
hsa-miR-199a-3p,729.5988243,0.812835025,0.297079242,2.736088259,0.006217435,0.095523938
hsa-miR-199b-3p,362.5818523,0.797537578,0.287509712,2.773950048,0.005538018,0.095523938
hsa-let-7c-5p,209.8227831,-0.539101583,0.205771767,-2.619900638,0.008795539,0.096594208
hsa-miR-223-3p,1889.903379,0.865721993,0.337836468,2.562547489,0.010390738,0.096594208
hsa-miR-27a-3p,64.1123287,-0.612987843,0.24072668,-2.546405922,0.010883854,0.096594208
hsa-miR-29b-3p,55.80533805,-1.425001251,0.547154496,-2.604385531,0.009203916,0.096594208
