"miRNA","Importance"
"hsa.miR.103a.3p",2.41489101853698
"hsa.let.7f.5p",2.19349712471295
"hsa.miR.370.3p",1.78442407789008
"hsa.miR.1307.3p",1.49706580634704
"hsa.miR.191.5p",1.49332921177786
"hsa.miR.155.5p",1.4598577821113
"hsa.let.7d.5p",1.39013078405977
"hsa.miR.27a.3p",1.13642052664905
"hsa.miR.199b.3p",1.13416248710894
"hsa.miR.30a.5p",1.01989948588278
"hsa.miR.199a.3p",0.897235523544401
"hsa.let.7c.5p",0.869817572278834
"hsa.miR.29b.3p",0.765462500170819
"hsa.miR.223.3p",0.415700835771308
